"","2 half-miles (counterfactual)","3 half-miles (counterfactual)","4 half-miles (counterfactual)","5 half-miles (counterfactual)","6 half-miles (counterfactual)"
"[0, 1) half-miles",2.97,5.19,7.35,9.44,11.48
"[1, 2) half-miles",NA,8.03,13.18,18.18,23.04
"[2, 3) half-miles",NA,NA,6.37,10.39,14.3
"[3, 4) half-miles",NA,NA,NA,4.49,7.32
"[4, 5) half-miles",NA,NA,NA,NA,3.08
