"","2 half-miles (counterfactual)","3 half-miles (counterfactual)","4 half-miles (counterfactual)","5 half-miles (counterfactual)","6 half-miles (counterfactual)"
"[0, 1) half-miles","[10020, 13145]","[17585, 22990]","[24960, 32522]","[32150, 41749]","[39161, 50682]"
"[1, 2) half-miles",NA,"[29855, 38929]","[49141, 63852]","[67943, 87981]","[86275, 111353]"
"[2, 3) half-miles",NA,NA,"[24391, 31586]","[39864, 51447]","[54949, 70675]"
"[3, 4) half-miles",NA,NA,NA,"[17302, 22252]","[28276, 36244]"
"[4, 5) half-miles",NA,NA,NA,NA,"[11887, 15187]"
