"","2 half-miles (counterfactual)","3 half-miles (counterfactual)","4 half-miles (counterfactual)","5 half-miles (counterfactual)","6 half-miles (counterfactual)"
"[0, 1) half-miles",11550,20236,28676,36876,44844
"[1, 2) half-miles",NA,34313,56381,77825,98660
"[2, 3) half-miles",NA,NA,27939,45585,62730
"[3, 4) half-miles",NA,NA,NA,19751,32223
"[4, 5) half-miles",NA,NA,NA,NA,13524
